Date,Silver
01/23/01,21.64265797930993
01/23/02,28.14574720231382
01/23/03,26.651972206962
01/23/04,25.23065424769119
01/23/05,23.588304841235026
01/23/06,28.772005408131083
01/23/07,23.924451074226354
01/23/08,28.16599439471577
01/23/09,24.391349085702185
01/23/10,23.769444294249077
01/23/11,24.626797856696065
01/23/12,23.01377874164142
01/23/13,27.47609380176251
01/23/14,25.027203900924793
01/23/15,22.322126951468174
01/23/16,28.995745732745682
01/23/17,23.838912213732115
01/23/18,25.435528611139887
01/23/19,29.06472110964547
01/23/20,26.24237995913992
01/23/21,21.16898040708364
01/23/22,29.398321236134752
01/23/23,26.27708053071418
01/23/24,23.34905614657086
01/23/25,21.392720726633872
01/23/26,27.94025189270296
01/23/27,26.200727559285134
01/23/28,25.334610919763215
01/23/29,28.938925830509575
01/23/30,27.885972112245305
01/23/31,21.516748797327512
02/23/01,23.117220677955483
02/23/02,22.484891398144658
02/23/03,27.43946292572677
02/23/04,20.335324347357794
02/23/05,25.698896848713165
02/23/06,27.624586857406904
02/23/07,28.767656367617494
02/23/08,23.420817487159074
02/23/09,28.21257304672013
02/23/10,21.106317369552073
02/23/11,28.46452291734518
02/23/12,21.274886623319823
02/23/13,23.972872905603673
02/23/14,27.972953657795536
02/23/15,21.49917427348774
02/23/16,22.292513952326416
02/23/17,27.222525683930662
02/23/18,27.200365365460744
02/23/19,26.411476328852974
02/23/20,26.939484444671002
02/23/21,25.427244433475963
02/23/22,22.517990589069527
02/23/23,23.456959935039194
02/23/24,21.815977168014257
02/23/25,29.084505613336283
02/23/26,25.833917947661206
02/23/27,24.0085141676364
02/23/28,24.62005803644133
03/23/01,29.472833396118155
03/23/02,21.533514031160802
03/23/03,25.862298320167973
03/23/04,25.05888678884466
03/23/05,26.11454235434648
03/23/06,20.181101838208406
03/23/07,28.721239089441514
03/23/08,29.32118282483612
03/23/09,25.65133183589209
03/23/10,26.966508238768924
03/23/11,29.224993811772958
03/23/12,27.072386343133985
03/23/13,21.525390429142615
03/23/14,25.762883601668133
03/23/15,26.06715046382856
03/23/16,24.24130671302386
03/23/17,27.364442356247228
03/23/18,29.343670147690148
03/23/19,29.255685129067764
03/23/20,24.508393714041322
03/23/21,21.132380458407553
03/23/22,29.848411989623344
03/23/23,28.38898086445934
03/23/24,21.24662681203267
03/23/25,29.208418826173723
03/23/26,28.698963620621285
03/23/27,25.188380571260723
03/23/28,25.912754357449295
03/23/29,23.990027038701303
03/23/30,20.547616388220312
03/23/31,23.35197241645901
04/23/01,28.028534485980114
04/23/02,20.046320230046028
04/23/03,23.334991716911443
04/23/04,23.981686935909433
04/23/05,25.37395602937923
04/23/06,29.198556164127606
04/23/07,23.46345994365961
04/23/08,23.469532018962276
04/23/09,27.375012481097485
04/23/10,24.522179408898072
04/23/11,22.24604822939982
04/23/12,24.524395161326936
04/23/13,21.408570203798
04/23/14,21.763869865062233
04/23/15,24.9836777273948
04/23/16,24.18925449504548
04/23/17,29.148459010681
04/23/18,23.62393899116633
04/23/19,25.805883502780436
04/23/20,26.322642879195303
04/23/21,20.130944565883336
04/23/22,26.635373720167106
04/23/23,21.780359668697514
04/23/24,29.61070317469455
04/23/25,21.48662727753113
04/23/26,24.14624123727024
04/23/27,20.85349668078644
04/23/28,29.96874251845947
04/23/29,25.021950103312427
04/23/30,25.953850173200436
05/23/01,20.670764773884276
05/23/02,27.49960470399178
05/23/03,22.099055930955856
05/23/04,28.980542894407137
05/23/05,22.05139640482007
05/23/06,21.906877206636665
05/23/07,20.365496678480948
05/23/08,24.720669451099994
05/23/09,25.648411332626164
05/23/10,20.657086394283525
05/23/11,27.755276166950104
05/23/12,24.532888347480277
05/23/13,25.2439026932758
05/23/14,24.40762746938228
05/23/15,24.00763060875326
05/23/16,25.596403313082178
05/23/17,21.552402459307125
